#params: learningRate 0.300, momentum 0.900, numIterations 10000, printEvery 100, printFirst 10000
iteration 856, loss 0.00333515
iteration 857, loss 0.00333625
iteration 858, loss 0.00333115
iteration 859, loss 0.00332098
iteration 860, loss 0.00331289
iteration 861, loss 0.00332030
iteration 862, loss 0.00332362
iteration 863, loss 0.00332004
iteration 864, loss 0.00331500
iteration 865, loss 0.00330627
iteration 866, loss 0.00328866
iteration 867, loss 0.00327865
iteration 868, loss 0.00328006
iteration 869, loss 0.00327267
iteration 870, loss 0.00326769
iteration 871, loss 0.00325983
iteration 872, loss 0.00327912
iteration 873, loss 0.00328021
iteration 874, loss 0.00327649
iteration 875, loss 0.00327583
iteration 876, loss 0.00326587
iteration 877, loss 0.00325371
iteration 878, loss 0.00326147
iteration 879, loss 0.00325630
iteration 880, loss 0.00323939
iteration 881, loss 0.00323253
iteration 882, loss 0.00323838
iteration 883, loss 0.00323725
iteration 884, loss 0.00321940
iteration 885, loss 0.00321364
iteration 886, loss 0.00322473
iteration 887, loss 0.00322137
iteration 888, loss 0.00322291
iteration 889, loss 0.00322194
iteration 890, loss 0.00321612
iteration 891, loss 0.00321400
iteration 892, loss 0.00320972
iteration 893, loss 0.00320576
iteration 894, loss 0.00320470
iteration 895, loss 0.00320028
iteration 896, loss 0.00319294
iteration 897, loss 0.00319476
iteration 898, loss 0.00318857
iteration 899, loss 0.00318517
iteration 900, loss 0.00317826
iteration 901, loss 0.00317518
iteration 902, loss 0.00315608
iteration 903, loss 0.00315430
iteration 904, loss 0.00315247
iteration 905, loss 0.00314972
iteration 906, loss 0.00314020
iteration 907, loss 0.00312835
iteration 908, loss 0.00312343
iteration 909, loss 0.00312571
iteration 910, loss 0.00312065
iteration 911, loss 0.00312115
iteration 912, loss 0.00312181
iteration 913, loss 0.00311790
iteration 914, loss 0.00311935
iteration 915, loss 0.00311655
iteration 916, loss 0.00311224
iteration 917, loss 0.00312324
iteration 918, loss 0.00312599
iteration 919, loss 0.00312257
iteration 920, loss 0.00310952
